device,subject,browser,run,energy_joules,duration_ms,error_flag
nexus5x,therecipespk-com-noremovehints,chrome,1,15.162387759005842,6473,False
nexus5x,therecipespk-com-noremovehints,chrome,2,9.19006368532725,4931,False
nexus5x,therecipespk-com-noremovehints,chrome,3,9.746996096884667,5867,False
nexus5x,therecipespk-com-noremovehints,chrome,4,10.06421753930958,6601,False
nexus5x,therecipespk-com-noremovehints,chrome,5,8.854500088987557,5095,False
nexus5x,manchestereveningnews-co-uk-noremovehints,chrome,1,33.35792345763259,16159,False
nexus5x,manchestereveningnews-co-uk-noremovehints,chrome,2,35.10336736180305,20629,False
nexus5x,manchestereveningnews-co-uk-noremovehints,chrome,3,39.80872759075279,19169,False
nexus5x,manchestereveningnews-co-uk-noremovehints,chrome,4,41.09582060841954,18702,False
nexus5x,manchestereveningnews-co-uk-noremovehints,chrome,5,39.08158540619978,18454,False
nexus5x,freeagent-com-noremovehints,chrome,1,12.925229080769666,8200,False
nexus5x,freeagent-com-noremovehints,chrome,2,12.440598089634866,8237,False
nexus5x,freeagent-com-noremovehints,chrome,3,12.010470501216883,7723,False
nexus5x,freeagent-com-noremovehints,chrome,4,11.304749230083392,10018,False
nexus5x,freeagent-com-noremovehints,chrome,5,12.544948393241054,8248,False
nexus5x,therecipespk-com-removehints,chrome,1,8.838922778682965,4682,False
nexus5x,therecipespk-com-removehints,chrome,2,9.716968979089133,4800,False
nexus5x,therecipespk-com-removehints,chrome,3,8.828166014091279,4907,False
nexus5x,therecipespk-com-removehints,chrome,4,8.308781901987539,5499,False
nexus5x,therecipespk-com-removehints,chrome,5,10.167941651096934,6404,False
nexus5x,variety-com-removehints,chrome,1,23.002469173692937,10250,False
nexus5x,variety-com-removehints,chrome,2,22.63573553067438,9678,False
nexus5x,variety-com-removehints,chrome,3,21.638054328949885,10604,False
nexus5x,variety-com-removehints,chrome,4,23.89332613591286,11738,False
nexus5x,variety-com-removehints,chrome,5,25.970075789299624,13573,False
nexus5x,iamvenezuela-com-removehints,chrome,1,20.885643297211253,10153,False
nexus5x,iamvenezuela-com-removehints,chrome,2,20.883759884430948,10383,False
nexus5x,iamvenezuela-com-removehints,chrome,3,24.71558804801069,9722,False
nexus5x,iamvenezuela-com-removehints,chrome,4,21.918023227545884,9337,False
nexus5x,iamvenezuela-com-removehints,chrome,5,20.983497027031788,9577,False
