run,device,subject,browser,plt
2,nexus5x,theodysseyonline-com-noremovepreload,chrome,7748
4,nexus5x,animoto-com-removepreload,chrome,3242
3,nexus5x,g-talent-net-removepreload,chrome,21246
4,nexus5x,africafreak-com-removepreload,chrome,7420
1,nexus5x,coindesk-com-removepreload,chrome,11299
1,nexus5x,veronicatv-nl-removepreload,chrome,7059
4,nexus5x,sedanmed-ir-removepreload,chrome,5675
3,nexus5x,theodysseyonline-com-removepreload,chrome,7641
3,nexus5x,jisr-net-noremovepreload,chrome,8057
3,nexus5x,cbc-ca-removepreload,chrome,8580
3,nexus5x,fastcodesign-com-noremovepreload,chrome,47819
5,nexus5x,beegru-com-removepreload,chrome,11823
2,nexus5x,veronicatv-nl-removepreload,chrome,8752
2,nexus5x,coindesk-com-removepreload,chrome,10102
5,nexus5x,sportbible-com-noremovepreload,chrome,12385
4,nexus5x,lisakristine-com-noremovepreload,chrome,11400
4,nexus5x,screenrant-com-removepreload,chrome,7119
4,nexus5x,blistex-com-removepreload,chrome,4514
5,nexus5x,africafreak-com-removepreload,chrome,7483
5,nexus5x,fitchratings-ru-noremovepreload,chrome,9777
4,nexus5x,musicgreatness-com-removepreload,chrome,6601
2,nexus5x,beegru-com-noremovepreload,chrome,11264
2,nexus5x,schmoozecom-com-removepreload,chrome,37160
2,nexus5x,dji-com-removepreload,chrome,7051
2,nexus5x,ict-moscow-removepreload,chrome,31783
2,nexus5x,traineracademy-org-noremovepreload,chrome,4320
3,nexus5x,squareinternet-co-removepreload,chrome,5455
2,nexus5x,ingenieriareal-com-removepreload,chrome,4283
2,nexus5x,traineracademy-org-removepreload,chrome,6158
3,nexus5x,coindesk-com-removepreload,chrome,10215
5,nexus5x,affirm-com-removepreload,chrome,12050
4,nexus5x,cbc-ca-removepreload,chrome,16115
3,nexus5x,unclesamsmisguidedchildren-com-removepreload,chrome,7575
4,nexus5x,ladbible-com-removepreload,chrome,12043
4,nexus5x,musicgreatness-com-noremovepreload,chrome,6629
3,nexus5x,traineracademy-org-noremovepreload,chrome,5739
2,nexus5x,schmoozecom-com-noremovepreload,chrome,5249
3,nexus5x,africafreak-com-noremovepreload,chrome,5837
3,nexus5x,theodysseyonline-com-noremovepreload,chrome,6941
5,nexus5x,musicgreatness-com-noremovepreload,chrome,5818
4,nexus5x,infobunny-com-removepreload,chrome,7591
4,nexus5x,bensonbingham-com-removepreload,chrome,6893
4,nexus5x,africafreak-com-noremovepreload,chrome,5892
3,nexus5x,scmp-com-noremovepreload,chrome,57031
3,nexus5x,ict-moscow-removepreload,chrome,9477
4,nexus5x,unilad-co-uk-removepreload,chrome,17668
3,nexus5x,nbc-com-noremovepreload,chrome,20378
4,nexus5x,agriwebb-com-removepreload,chrome,28896
4,nexus5x,scmp-com-noremovepreload,chrome,55373
4,nexus5x,unilad-co-uk-noremovepreload,chrome,16725
3,nexus5x,traineracademy-org-removepreload,chrome,6373
4,nexus5x,lisakristine-com-removepreload,chrome,9692
4,nexus5x,traineracademy-org-noremovepreload,chrome,4734
4,nexus5x,affirm-com-noremovepreload,chrome,12823
4,nexus5x,jisr-net-noremovepreload,chrome,9571
4,nexus5x,screenrant-com-noremovepreload,chrome,7209
5,nexus5x,infobunny-com-noremovepreload,chrome,7899
2,nexus5x,ict-moscow-noremovepreload,chrome,8918
3,nexus5x,veronicatv-nl-removepreload,chrome,7128
5,nexus5x,unclesamsmisguidedchildren-com-noremovepreload,chrome,15904
3,nexus5x,animoto-com-noremovepreload,chrome,4344
4,nexus5x,theodysseyonline-com-noremovepreload,chrome,7582
3,nexus5x,dji-com-removepreload,chrome,4812
5,nexus5x,sedanmed-ir-removepreload,chrome,7054
4,nexus5x,sportbible-com-removepreload,chrome,12677
4,nexus5x,newsbreak-com-noremovepreload,chrome,6649
5,nexus5x,traineracademy-org-noremovepreload,chrome,5823
3,nexus5x,home-pl-noremovepreload,chrome,12355
4,nexus5x,noshift-com-noremovepreload,chrome,5709
3,nexus5x,schmoozecom-com-removepreload,chrome,5823
4,nexus5x,coindesk-com-noremovepreload,chrome,9808
4,nexus5x,unclesamsmisguidedchildren-com-removepreload,chrome,16189
3,nexus5x,agriwebb-com-noremovepreload,chrome,28291
4,nexus5x,fastcodesign-com-noremovepreload,chrome,45018
4,nexus5x,coindesk-com-removepreload,chrome,11865
5,nexus5x,intercom-io-noremovepreload,chrome,8458
3,nexus5x,schmoozecom-com-noremovepreload,chrome,5927
3,nexus5x,cbc-ca-noremovepreload,chrome,15498
4,nexus5x,newsbreak-com-removepreload,chrome,6806
5,nexus5x,trustpilot-com-noremovepreload,chrome,6453
3,nexus5x,ingenieriareal-com-removepreload,chrome,4085
4,nexus5x,g-talent-net-removepreload,chrome,17916
2,nexus5x,ingenieriareal-com-noremovepreload,chrome,2685
3,nexus5x,beegru-com-noremovepreload,chrome,11620
3,nexus5x,ict-moscow-noremovepreload,chrome,9243
4,nexus5x,schmoozecom-com-removepreload,chrome,5993
3,nexus5x,ingenieriareal-com-noremovepreload,chrome,2528
5,nexus5x,newsbreak-com-noremovepreload,chrome,5067
4,nexus5x,agriwebb-com-noremovepreload,chrome,28850
5,nexus5x,cbc-ca-removepreload,chrome,14741
4,nexus5x,squareinternet-co-removepreload,chrome,4942
4,nexus5x,grantthornton-se-removepreload,chrome,2834
4,nexus5x,nbc-com-noremovepreload,chrome,21860
5,nexus5x,agriwebb-com-noremovepreload,chrome,27826
5,nexus5x,parsely-com-removepreload,chrome,8644
5,nexus5x,coindesk-com-removepreload,chrome,12736
5,nexus5x,grantthornton-se-noremovepreload,chrome,2752
2,nexus5x,parsely-com-noremovepreload,chrome,7701
3,nexus5x,home-pl-removepreload,chrome,10900
3,nexus5x,g-talent-net-noremovepreload,chrome,20458
5,nexus5x,theodysseyonline-com-noremovepreload,chrome,7493
4,nexus5x,home-pl-noremovepreload,chrome,12619
5,nexus5x,affirm-com-noremovepreload,chrome,14853
4,nexus5x,ingenieriareal-com-removepreload,chrome,3947
5,nexus5x,schmoozecom-com-removepreload,chrome,6342
5,nexus5x,scmp-com-noremovepreload,chrome,56327
5,nexus5x,home-pl-noremovepreload,chrome,10353
5,nexus5x,animoto-com-removepreload,chrome,3220
4,nexus5x,schmoozecom-com-noremovepreload,chrome,6472
4,nexus5x,animoto-com-noremovepreload,chrome,3727
4,nexus5x,ict-moscow-removepreload,chrome,11361
3,nexus5x,fastcodesign-com-removepreload,chrome,48236
5,nexus5x,bensonbingham-com-removepreload,chrome,7010
3,nexus5x,blistex-com-noremovepreload,chrome,5593
5,nexus5x,africafreak-com-noremovepreload,chrome,5993
4,nexus5x,home-pl-removepreload,chrome,11194
5,nexus5x,infobunny-com-removepreload,chrome,7330
3,nexus5x,fitchratings-ru-removepreload,chrome,10709
3,nexus5x,dji-com-noremovepreload,chrome,5795
5,nexus5x,fastcodesign-com-noremovepreload,chrome,46269
5,nexus5x,musicgreatness-com-removepreload,chrome,6092
5,nexus5x,squareinternet-co-removepreload,chrome,4949
4,nexus5x,g-talent-net-noremovepreload,chrome,19534
5,nexus5x,home-pl-removepreload,chrome,11347
4,nexus5x,scmp-com-removepreload,chrome,56437
4,nexus5x,ingenieriareal-com-noremovepreload,chrome,3889
4,nexus5x,dji-com-noremovepreload,chrome,5490
5,nexus5x,agriwebb-com-removepreload,chrome,29265
4,nexus5x,veronicatv-nl-removepreload,chrome,6936
5,nexus5x,veronicatv-nl-removepreload,chrome,8455
5,nexus5x,screenrant-com-removepreload,chrome,6101
5,nexus5x,lisakristine-com-removepreload,chrome,8927
5,nexus5x,dji-com-noremovepreload,chrome,7682
4,nexus5x,dji-com-removepreload,chrome,5328
5,nexus5x,ingenieriareal-com-noremovepreload,chrome,3453
5,nexus5x,coindesk-com-noremovepreload,chrome,9981
4,nexus5x,nbc-com-removepreload,chrome,21957
3,nexus5x,parsely-com-noremovepreload,chrome,8974
5,nexus5x,ladbible-com-removepreload,chrome,13661
4,nexus5x,fitchratings-ru-removepreload,chrome,11553
5,nexus5x,scmp-com-removepreload,chrome,57452
4,nexus5x,trustpilot-com-removepreload,chrome,6675
4,nexus5x,ict-moscow-noremovepreload,chrome,9147
5,nexus5x,unilad-co-uk-noremovepreload,chrome,23961
4,nexus5x,ladbible-com-noremovepreload,chrome,13955
5,nexus5x,unclesamsmisguidedchildren-com-removepreload,chrome,8826
4,nexus5x,beegru-com-noremovepreload,chrome,15150
5,nexus5x,blistex-com-removepreload,chrome,5718
4,nexus5x,theodysseyonline-com-removepreload,chrome,7944
5,nexus5x,noshift-com-removepreload,chrome,5754
5,nexus5x,berlinomagazine-com-noremovepreload,chrome,8464
4,nexus5x,parsely-com-noremovepreload,chrome,8436
5,nexus5x,theodysseyonline-com-removepreload,chrome,6918
5,nexus5x,sportbible-com-removepreload,chrome,12407
5,nexus5x,nbc-com-removepreload,chrome,20375
4,nexus5x,blistex-com-noremovepreload,chrome,4848
5,nexus5x,dji-com-removepreload,chrome,4861
5,nexus5x,ict-moscow-removepreload,chrome,9019
5,nexus5x,nbc-com-noremovepreload,chrome,20227
5,nexus5x,g-talent-net-removepreload,chrome,17994
4,nexus5x,fastcodesign-com-removepreload,chrome,43421
5,nexus5x,trustpilot-com-removepreload,chrome,5589
5,nexus5x,newsbreak-com-removepreload,chrome,7518
5,nexus5x,intercom-io-removepreload,chrome,9947
5,nexus5x,jisr-net-removepreload,chrome,7505
5,nexus5x,fitchratings-ru-removepreload,chrome,10626
4,nexus5x,cbc-ca-noremovepreload,chrome,10478
5,nexus5x,jisr-net-noremovepreload,chrome,8407
4,nexus5x,traineracademy-org-removepreload,chrome,4844
5,nexus5x,parsely-com-noremovepreload,chrome,9914
5,nexus5x,grantthornton-se-removepreload,chrome,2846
5,nexus5x,unilad-co-uk-removepreload,chrome,17858
5,nexus5x,blistex-com-noremovepreload,chrome,5794
5,nexus5x,ladbible-com-noremovepreload,chrome,13615
5,nexus5x,traineracademy-org-removepreload,chrome,4690
5,nexus5x,animoto-com-noremovepreload,chrome,4402
5,nexus5x,lisakristine-com-noremovepreload,chrome,11453
5,nexus5x,fastcodesign-com-removepreload,chrome,40622
5,nexus5x,ict-moscow-noremovepreload,chrome,8702
5,nexus5x,schmoozecom-com-noremovepreload,chrome,6444
5,nexus5x,ingenieriareal-com-removepreload,chrome,4972
4,nexus5x,bensonbingham-com-noremovepreload,chrome,7322
5,nexus5x,cbc-ca-noremovepreload,chrome,17321
5,nexus5x,g-talent-net-noremovepreload,chrome,18445
5,nexus5x,bensonbingham-com-noremovepreload,chrome,7391
5,nexus5x,screenrant-com-noremovepreload,chrome,6747
5,nexus5x,noshift-com-noremovepreload,chrome,5121
5,nexus5x,beegru-com-noremovepreload,chrome,11730
