device,subject,browser,run,energy_joules,duration_ms,error_flag
nexus5x,blistex-com-removepreload,chrome,1,12.212484070234861,5744,False
nexus5x,blistex-com-removepreload,chrome,2,14.155377838205263,7095,False
nexus5x,blistex-com-removepreload,chrome,3,12.765788499620673,6243,False
nexus5x,blistex-com-removepreload,chrome,4,12.401957654866177,6107,False
nexus5x,blistex-com-removepreload,chrome,5,13.884090010644407,7598,False
nexus5x,veronicatv-nl-removepreload,chrome,1,20.468641016608007,8934,False
nexus5x,veronicatv-nl-removepreload,chrome,2,24.771129010668545,10565,False
nexus5x,veronicatv-nl-removepreload,chrome,3,21.389736448011767,9072,False
nexus5x,veronicatv-nl-removepreload,chrome,4,20.973023845689625,9049,False
nexus5x,veronicatv-nl-removepreload,chrome,5,25.810310407437328,10495,False
nexus5x,infobunny-com-removepreload,chrome,1,26.252391360173963,18659,False
nexus5x,infobunny-com-removepreload,chrome,2,17.209531398441662,9369,False
nexus5x,infobunny-com-removepreload,chrome,3,18.1274124302793,9225,False
nexus5x,infobunny-com-removepreload,chrome,4,18.035657838261745,9252,False
nexus5x,infobunny-com-removepreload,chrome,5,16.581737233996503,9064,False
nexus5x,fastcodesign-com-noremovepreload,chrome,1,87.55365247640944,49237,False
nexus5x,fastcodesign-com-noremovepreload,chrome,2,85.66309853231841,48574,False
nexus5x,fastcodesign-com-noremovepreload,chrome,3,86.05196425519073,50029,False
nexus5x,fastcodesign-com-noremovepreload,chrome,4,87.59769027323796,47273,False
nexus5x,fastcodesign-com-noremovepreload,chrome,5,87.37786518931838,48356,False
nexus5x,home-pl-removepreload,chrome,1,28.630981949893318,13127,False
nexus5x,home-pl-removepreload,chrome,2,30.685894325166093,15650,False
nexus5x,home-pl-removepreload,chrome,3,29.353344855207002,12518,False
nexus5x,home-pl-removepreload,chrome,4,29.9938355522049,12871,False
nexus5x,home-pl-removepreload,chrome,5,29.655154723839637,13371,False
nexus5x,trustpilot-com-removepreload,chrome,1,16.635865365775814,7146,False
nexus5x,trustpilot-com-removepreload,chrome,2,15.735804154860405,7059,False
nexus5x,trustpilot-com-removepreload,chrome,3,16.49741877586285,7402,False
nexus5x,trustpilot-com-removepreload,chrome,4,18.420683616976177,8356,False
nexus5x,trustpilot-com-removepreload,chrome,5,18.219490096752992,7292,False
nexus5x,ingenieriareal-com-noremovepreload,chrome,1,11.813155976543934,5202,False
nexus5x,ingenieriareal-com-noremovepreload,chrome,2,10.194020184708917,4136,False
nexus5x,ingenieriareal-com-noremovepreload,chrome,3,10.932480138985767,4112,False
nexus5x,ingenieriareal-com-noremovepreload,chrome,4,11.883062946074118,5488,False
nexus5x,ingenieriareal-com-noremovepreload,chrome,5,11.45656435759664,5076,False
nexus5x,home-pl-noremovepreload,chrome,1,29.637382969834523,11826,False
nexus5x,home-pl-noremovepreload,chrome,2,27.75776249969493,12720,False
nexus5x,home-pl-noremovepreload,chrome,3,30.529410878159265,13997,False
nexus5x,home-pl-noremovepreload,chrome,4,29.933834695913692,14218,False
nexus5x,home-pl-noremovepreload,chrome,5,30.34055813869277,12225,False
nexus5x,noshift-com-noremovepreload,chrome,1,15.096556131788539,6748,False
nexus5x,noshift-com-noremovepreload,chrome,2,15.631452077722713,7222,False
nexus5x,noshift-com-noremovepreload,chrome,3,15.263000604339737,6805,False
nexus5x,noshift-com-noremovepreload,chrome,4,15.677300468987934,7395,False
nexus5x,noshift-com-noremovepreload,chrome,5,14.884231184282946,6671,False
nexus5x,beegru-com-removepreload,chrome,1,32.81730989853531,12876,False
nexus5x,beegru-com-removepreload,chrome,2,32.785091065525386,12891,False
nexus5x,beegru-com-removepreload,chrome,3,33.05767550054235,13063,False
